r,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH0,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4
43,0.9878529411432062,1.7641107713221724,0.6849725952126945,0.7540316783121719,2.588759926807651,0.8167062865986946,0.6057954065077211,0.9712561255796001,2.2507470776098955,1.3126911726215282,0.793147076897243,1.7214708353833106,0.6899191798565051,1.1223849321916417,1.0587715867022616,2.121113578761282,2.5232472936601926,1.3560899781763016,1.093657918077443,2.7752915718099795
44,0.9983546528181814,1.707623834108886,0.7751132229410163,0.8268118690848291,2.739171845092743,0.8704915801461529,0.6239386595144208,1.0160551820028352,2.3316702857330127,1.1056812734771257,0.7551680216485168,1.95180942604566,0.6566332939961804,1.239756020944947,1.1955037822863004,2.149655658280026,2.6123492787151545,1.5098369694631188,1.2784307001884245,2.808139998340599
45,0.980750625062557,1.7031089476872885,0.7280890283134946,0.7691487181099784,2.675247901399772,0.85052058908884,0.6035642907379735,0.9578163747001682,2.247519033308081,1.1145872498767846,0.7405759872002687,1.8793701854696319,0.6989834483339035,1.1591345730037186,1.1864840084948194,2.12889693189557,2.5337331810405046,1.450267667573262,1.2178197073732298,2.7539921318387455
46,0.9001426381996583,1.7377227650079758,0.7153206187385983,0.7236999778959964,2.5572601250366516,0.7404707309061035,0.5288087914720663,0.8775721530503405,2.229584512702042,0.9056736846424441,0.4770771565742739,1.6333767791299745,0.6884786068668497,1.0309808037571784,0.9744936147221507,2.0614470235112377,2.4523377934096433,1.2754478832949911,1.0200078306779612,2.6773480936504623
47,0.8889729864430739,1.7287916271943229,0.7957346943087361,0.6937500923175728,2.52053988674581,0.6617693784750555,0.5793276969338205,0.7352975361128289,2.18840500115276,0.7731051069724191,0.3449987627496867,1.4650299215181006,0.716864767431598,0.9691900534234421,0.9483409499226161,2.0354167422715355,2.3901134434541884,1.139984097807413,0.968030276663609,2.532366210368921
48,0.9978235541075652,1.7025856774113377,0.7657856112629957,0.7950092263467972,2.708777804897837,0.8301490964072811,0.6229217044955376,0.9697355866314092,2.2853736184549946,1.1314515001551766,0.7025717583001021,1.904725964562183,0.6760784235301827,1.190733842458258,1.2025000239046517,2.147907834601638,2.5878495893425897,1.4645708711897578,1.2610101601904091,2.7682991146807714
49,0.9720620129699972,1.6828136647959833,0.7453899208654498,0.7784879150826687,2.7054465265798116,0.7865468705225966,0.5394437417259788,0.9105158891397154,2.280123531919889,0.9227425543097479,0.49234173057775166,1.8482426129375011,0.6589245449752614,1.1506264828243442,1.1763698104268951,2.127975896359072,2.5556486130607423,1.4122300317037813,1.2312429328486523,2.6993609960801783
50,1.0078747014776523,1.7698881337698134,0.7061591948242814,0.7798921865489905,2.6217813122325855,0.8467573895129118,0.6865157472007458,1.0186367749221097,2.288601662756809,1.3550258942525244,0.8205193668743969,1.7616849408927084,0.6741081243881858,1.140314036515762,1.0747876021120935,2.14002095630124,2.577363701962278,1.4056911742795308,1.1368483708946227,2.8142656610611816
51,0.9090305626860113,1.6798193352768558,0.7931502504296087,0.7413006697985389,2.647629713554115,0.6919287124397008,0.5780487713450793,0.7946896412780557,2.229273411532975,0.823717338568851,0.3931241888240087,1.7083393166622982,0.6772958122820668,1.0768694326292894,1.1008152217416116,2.070019084487833,2.4599965863521973,1.2954844506119776,1.1441039411947582,2.5788058723275937
52,1.021981186162138,1.7806031102515945,0.7261406725523761,0.8182311772383561,2.64985410089943,0.875508509008888,0.6782980792000879,1.0435120518279861,2.344184620379044,1.2455025677981424,0.7715867242755392,1.7879144955289197,0.6423823537746852,1.1762979457888554,1.0879599508318591,2.1580427769731716,2.6194190170577567,1.437028622210893,1.1797758897633832,2.8365562386537615
